Year,PollutantID,Pollutant_Name,PlantID,Site,Easting,Northing,Operator,SectorID,Sector,Emission,Unit,Country,Datatype
2022,21,Ammonia,40540,Port Talbot Morfa Coke Ovens,277070.0,185800.0,Tata Steel Ltd,13.0,Iron & steel industries,64.7,Tonnes,Wales,O
2022,21,Ammonia,40549,Scunthorpe Appleby Coke Ovens,491655.0,410975.0,British Steel Ltd,13.0,Iron & steel industries,77.91,Tonnes,England,O
2022,21,Ammonia,40599,Grimsby Chemical Works Moody Lane South Humberside,524040.0,412080.0,Solenis UK Industries Limited,10.0,Chemical industry,18.04,Tonnes,England,O
2022,21,Ammonia,40602,Allerton Waste Recovery Park Allerton Park Quarry North Yorkshire,440581.0,459869.0,AmeyCespa (AWRP) ODC Limited,21.0,"Waste collection, treatment & disposal",1.97,Tonnes,England,O
2022,21,Ammonia,40605,Marnham Road Nottinghamshire,480399.0,369349.0,JG Pears Power (OandM) Ltd,5.0,"Food, drink & tobacco industry",0.3,Tonnes,England,O
2022,21,Ammonia,40607,Speke Pharmaceutical Works FLEMING ROAD MERSEYSIDE,343563.0,384561.0,Elanco UK AH Limited,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,40609,Low Moor Chemical Works CLECKHEATON ROAD LOW MOOR WEST YORKSHIRE,416188.0,428368.0,Solenis UK Industries Limited,10.0,Chemical industry,6.09,Tonnes,England,O
2022,21,Ammonia,40622,"Bolton Thermal Recovery Facility, Raikes Lane, Bolton",372800.0,407500.0,Suez Recycling And Recovery Uk Ltd,21.0,"Waste collection, treatment & disposal",0.7,Tonnes,England,M
2022,21,Ammonia,40627,East Kent Waste Recovery Facility Ramsgate Road Kent,633450.0,160050.0,WasteCare Limited,21.0,"Waste collection, treatment & disposal",0.04,Tonnes,England,M
2022,21,Ammonia,40644,Stranglands Lane West Yorkshire,447192.0,424951.0,Ferrybridge MFE 2 Limited,21.0,"Waste collection, treatment & disposal",1.0,Tonnes,England,M
2022,21,Ammonia,40654,Glasgow Recycling & Renewable Energy Centre,259560.0,662340.0,Viridor Waste Management Ltd,21.0,"Waste collection, treatment & disposal",1.29,Tonnes,Scotland,M
2022,21,Ammonia,40655,Dunbar ERF,371200.0,675900.0,Viridor Waste Management Ltd,21.0,"Waste collection, treatment & disposal",3.17,Tonnes,Scotland,M
